0	156
157	237
238	525
526	678
679	817
818	1093
1094	1212
1213	1343
1344	1418
1419	1512
1513	1715
1716	1910
1911	2085
2086	2161
2162	2377
2378	2520
2521	2695
2696	2754
2755	2793
2794	2928
2929	3013
3014	3065
3067	3160
3161	3168
3169	3350
3351	3474
3475	3505
3506	3543
3544	3672
3673	3803
3805	3916
3917	4084
4085	4224
4225	4299
4300	4407
4408	4546
4547	4712
4713	4800
4801	4857
4859	5103
5105	5230
5232	5400
5401	5538
5539	5800
5801	5871
5872	5959
5960	6120
6121	6219
6220	6488
6489	6613
6614	6713
6714	6911
