0	139
140	167
168	207
208	383
384	510
511	648
649	680
681	712
713	866
867	906
907	1181
1182	1390
1391	1421
1422	1791
1792	1890
1891	2030
2031	2175
2176	2430
2431	2597
2598	2760
2761	2858
2860	3043
3044	3159
3161	3206
3207	3215
3216	3264
3265	3289
3290	3365
3366	3405
3406	3442
3443	3591
3592	3621
3622	3709
3710	3827
3828	4007
4008	4044
4045	4165
4166	4356
4357	4392
4393	4430
4432	4553
4554	4640
4642	4915
4916	5000
5001	5067
5068	5270
5271	5414
5415	5546
5547	5632
5633	5730
5731	6019
6020	6147
6148	6269
6270	6425
6426	6661
6662	6730
6732	6917
6918	7062
7063	7248
7249	7380
