0	216
217	300
301	541
542	718
719	842
843	1065
1066	1094
1095	1114
1115	1157
1158	1181
1182	1215
1216	1255
1256	1354
1355	1393
1394	1450
1451	1478
1479	1564
1565	1732
1733	1902
1903	2074
2075	2213
2214	2361
2362	2395
2396	2482
2483	2516
2517	2651
2652	2655
2656	2677
2678	2706
2707	2758
2759	2791
2792	2811
2812	2866
2867	3079
3080	3127
3128	3150
3151	3185
3186	3224
3225	3256
3257	3284
3285	3341
3342	3381
3382	3436
3437	3572
3573	3633
3634	3704
3705	3804
3806	3898
3899	4069
4070	4579
4580	4742
4743	4969
4970	5111
