0	97
98	187
188	283
284	383
384	603
604	987
988	1114
1115	1220
1221	1281
1282	1361
1362	1687
1688	1780
1781	1909
1910	2051
2052	2198
2199	2269
2270	2342
2343	2423
2424	2663
2665	2687
2688	2718
2719	2748
2749	2768
2769	2821
2822	2842
2843	2912
2913	3020
3021	3082
3083	3225
3226	3297
3298	3460
3461	3520
3522	3706
3707	3734
3735	3749
3750	3803
3804	3878
3879	3974
3975	4213
4214	4382
4383	4428
4429	4570
4571	4733
4734	4790
4791	4868
4869	4925
4926	5042
5043	5200
5202	5285
5286	5356
5358	5746
5747	6129
6130	6272
6273	6439
6440	6709
6710	6769
6771	6910
6911	7149
7150	7207
7208	7444
7445	7655
7656	7789
7790	8007
8008	8290
8291	8557
8558	8640
