0	267
268	336
337	461
462	543
544	614
615	677
678	762
764	803
804	837
838	857
858	895
896	969
970	1000
1001	1029
1030	1045
1046	1068
1069	1106
1107	1149
1150	1202
1203	1285
1286	1331
1332	1411
1412	1484
1485	1532
1533	1569
1570	1587
1589	1795
1796	1893
1894	1940
1942	2085
2086	2147
2148	2327
2329	2501
2502	2635
2636	2769
2770	2842
2843	2996
2997	3072
3073	3276
3277	3424
3425	3639
3640	3744
3746	3891
3892	4247
4248	4323
4324	4376
4377	4503
4504	4666
4667	4825
4826	4908
4909	5094
5095	5188
5189	5329
