0	149
151	182
184	208
209	216
217	244
246	284
286	319
320	508
509	853
854	978
979	1260
1261	1299
1301	1341
1342	1389
1390	1436
1437	1482
1483	1529
1531	1579
1580	1611
1612	1658
1659	1702
1703	1741
1743	1778
1780	1809
1811	1853
1855	1887
1889	1907
1909	1935
1937	1965
1967	2004
2006	2056
2058	2097
2099	2188
2190	2214
2215	2229
2231	2338
2340	2480
2482	2540
2542	2600
2602	2725
2727	2861
2863	3040
3041	3124
3125	3227
3229	3305
3307	3491
3493	3582
3584	3725
3727	3818
3820	3948
3950	4123
4125	4224
4226	4391
