0	37
38	56
57	110
111	141
142	182
183	207
208	378
379	446
447	483
484	578
579	621
623	645
646	667
668	673
674	702
703	729
730	774
775	826
827	915
916	969
970	1063
1064	1155
1156	1216
1218	1365
1366	1393
1394	1422
1423	1520
1521	1686
1687	1806
1807	1859
1860	1892
1893	1981
1982	2057
2058	2132
2133	2309
2310	2372
2373	2750
2751	2900
2901	3031
3032	3142
3143	3284
3285	3357
3358	3384
3385	3424
3426	3500
3501	3587
3588	3779
3781	4143
4144	4564
4565	4680
4681	4956
4958	5248
5249	5254
5255	5302
5303	5309
5310	5339
5340	5345
5346	5383
5384	5409
5410	5450
5451	5493
5494	5499
5500	5554
5555	5786
5787	5956
5957	6107
6108	6237
6238	6501
6502	6580
6581	6722
